Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	CD	CD	CD	CD	CD	Control	Control	Control	Control	Control
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	1.0	1.0	1.0	85.5	456.0	1.0	50.25	97.0	143.5	387.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	1.0	24.75	80.0	267.25	4347.0	1.0	8.0	18.0	69.5	1287.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4B4_group	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	1.0	1.0	1.0	1.0	87.0	1.0	1.0	1.0	22.25	95.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHKCI001	1.0	1.0	1.0	1.0	68.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	1.0	1055.0	2111.0	3193.0	7538.0	1.0	1287.25	1512.5	1797.75	3982.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	1.0	82.0	496.5	801.5	2655.0	1.0	287.5	561.5	864.75	1751.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	1.0	1.0	165.0	420.25	1749.0	1.0	265.0	358.0	493.75	1006.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	1.0	1.0	1.0	1.0	31.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella	1.0	1.0	4.5	21.25	239.0	1.0	1.0	1.0	1.0	14.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Robinsoniella	1.0	1.0	1.0	1.0	23.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Murimonas	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	1.0	1.0	1.0	1.0	25.0	1.0	1.0	12.0	30.0	209.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56	1.0	1.0	1.0	22.5	153.0	1.0	10.75	42.0	83.75	161.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas	1.0	1.0	20.0	59.0	1112.0	1.0	1.0	1.0	1.0	21.0
